MsgID.GLOBAL_POSITION,1521334761.8767161,-122.3974514,37.7924800,0.2110000
MsgID.LOCAL_VELOCITY,1521334761.8767161,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1521334761.8771148,0.0002325,-0.1286128,-0.2111862
MsgID.LOCAL_VELOCITY,1521334761.8771148,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1521334761.8774190,-122.3974521,37.7924799,0.1980000
MsgID.LOCAL_VELOCITY,1521334761.8774190,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1521334761.8777311,-0.0046890,-0.1864174,-0.1958472
MsgID.LOCAL_VELOCITY,1521334761.8777311,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1521334761.8780370,-122.3974507,37.7924803,0.1670000
MsgID.LOCAL_VELOCITY,1521334761.8780370,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1521334761.8783610,0.0371147,-0.0704114,-0.1671879
MsgID.LOCAL_VELOCITY,1521334761.8783610,0.0000000,0.0000000,-0.0000000
MsgID.STATE,1521334761.8788841,False,False
MsgID.GLOBAL_HOME,1521334761.8795788,-122.3974500,37.7924800,0.0000000
MsgID.GLOBAL_POSITION,1521334761.8798311,-122.3974500,37.7924813,0.1260000
MsgID.LOCAL_VELOCITY,1521334761.8798311,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1521334761.8801620,0.1461191,-0.0017386,-0.1226989
MsgID.LOCAL_VELOCITY,1521334761.8801620,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1521334761.8958762,-122.3974496,37.7924801,0.0780000
MsgID.LOCAL_VELOCITY,1521334761.8958762,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1521334761.9021921,0.0129690,0.0347263,-0.0784428
MsgID.LOCAL_VELOCITY,1521334761.9021921,-0.0000101,-0.0000086,0.0000134
MsgID.GLOBAL_POSITION,1521334762.1454470,-122.3974508,37.7924794,0.0330000
MsgID.LOCAL_VELOCITY,1521334762.1454470,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1521334762.1539991,-0.0654261,-0.0937638,-0.0289908
MsgID.LOCAL_VELOCITY,1521334762.1539991,0.0000106,-0.0000100,0.0000174
MsgID.GLOBAL_POSITION,1521334762.3955660,-122.3974514,37.7924796,-0.0080000
MsgID.LOCAL_VELOCITY,1521334762.3955660,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1521334762.4040351,-0.0367975,-0.1327191,0.0080999
MsgID.LOCAL_VELOCITY,1521334762.4040351,-0.0000245,-0.0000096,0.0000067
MsgID.STATE,1521334762.6088531,True,True
MsgID.GLOBAL_HOME,1521334762.9348831,-122.3974500,37.7924800,0.0000000
MsgID.GLOBAL_POSITION,1521334762.9350150,-122.3974500,37.7924811,-0.0360000
MsgID.LOCAL_VELOCITY,1521334762.9350150,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1521334762.9351511,0.0820952,0.2893235,0.0372203
MsgID.LOCAL_VELOCITY,1521334762.9351511,-0.0000039,0.0000093,0.0000136
MsgID.GLOBAL_POSITION,1521334762.9353540,-122.3974500,37.7924807,-0.0460000
MsgID.LOCAL_VELOCITY,1521334762.9353540,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1521334762.9355950,0.0275620,0.2914144,0.0466627
MsgID.LOCAL_VELOCITY,1521334762.9355950,-0.0000022,-0.0000067,0.0000165
MsgID.GLOBAL_POSITION,1521334763.1467352,-122.3974492,37.7924796,-0.0380000
MsgID.LOCAL_VELOCITY,1521334763.1467352,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1521334763.1542161,-0.0946571,0.3665239,0.0381860
MsgID.LOCAL_VELOCITY,1521334763.1542161,0.0000082,-0.0000059,0.0000122
MsgID.GLOBAL_POSITION,1521334763.3983130,-122.3974484,37.7924799,-0.0140000
MsgID.LOCAL_VELOCITY,1521334763.3983130,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1521334763.4046640,-0.0584167,0.4292033,0.0141821
MsgID.LOCAL_VELOCITY,1521334763.4046640,-0.0000309,0.0000056,0.0000109
MsgID.STATE,1521334763.6096499,True,True
MsgID.GLOBAL_HOME,1521334763.6106610,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,1521334763.6488700,-122.3974502,37.7924799,0.0250000
MsgID.LOCAL_VELOCITY,1521334763.6488700,0.0000000,0.0000000,-0.2600000
MsgID.LOCAL_POSITION,1521334763.6532609,-0.0567718,0.2686136,-0.0278782
